source,predicate,target
MLM,has_layer,Deterministic
MLM,has_layer,Stochastic
MLM,has_layer,AI_ML
MLM,has_layer,RL_Q_Learning
MLM,has_dataset_family,DS-F
MLM,has_dataset_family,DS-E
MLM,has_dataset_family,DS-O
MLM,has_dataset_family,DS-A
MLM,has_dataset_family,DS-P
DS-F,contains_dataset,DS-NWP
DS-F,contains_dataset,DS-MARINE
DS-F,contains_dataset,DS-ASTRONOMY
DS-F,contains_dataset,DS-RADAR
DS-F,contains_dataset,DS-LOCAL-SENSOR
DS-F,contains_dataset,DS-CALENDAR
DS-F,contains_dataset,DS-WEATHER
DS-F,contains_dataset,DS-BUILDING
DS-O,contains_dataset,DS-OCCUPANCY
DS-E,contains_dataset,DS-ENERGY
DS-E,contains_dataset,DS-PV
DS-E,contains_dataset,DS-INVERTER
DS-E,contains_dataset,DS-BATTERY
DS-E,contains_dataset,DS-EV
DS-E,contains_dataset,DS-HVAC
DS-E,contains_dataset,DS-SENSOR
DS-E,contains_dataset,DS-SMART-METER
DS-E,contains_dataset,DS-MARKET
DS-A,contains_dataset,DS-CARBON
DS-A,contains_dataset,DS-GRID
DS-A,contains_dataset,DS-TARIFF
MLM,has_asset,Asset-Temperature-sensors-room-flow-return
MLM,has_asset,Asset-Relative-humidity-sensors
MLM,has_asset,Asset-CO-sensors
MLM,has_asset,Asset-VOC-PM-sensors
MLM,has_asset,Asset-Window-Door-open-closed-sensors
MLM,has_asset,Asset-Radiator-UFH-flow-sensors
MLM,has_asset,Asset-Whole-house-smart-meter
MLM,has_asset,Asset-Electrical-submeters
MLM,has_asset,Asset-Heat-meters-heating-cooling-loops
MLM,has_asset,Asset-PV-inverter
MLM,has_asset,Asset-Battery-storage
MLM,has_asset,Asset-EV-charger-smart-V2G
MLM,has_asset,Asset-Heat-pump-ASHP-GSHP
MLM,has_asset,Asset-PCM-storage-small-scale
MLM,has_asset,Asset-Buffer-tanks-thermal-storage
MLM,has_asset,Asset-ERV-HRV
MLM,has_asset,Asset-Mixing-3-way-valves
MLM,has_asset,Asset-Shading-blinds-actuators
MLM,has_asset,Asset-ATS-STS-crossover-switches
MLM,has_asset,Asset-Dynamic-tariff-grid-signals
MLM,has_asset,Asset-Carbon-intensity-signals
MLM,has_asset,Asset-Weather-nowcast-ensemble-forecasts
MLM,has_asset,Asset-Occupant-preferences-override-app
MLM,has_application,ODEON
MLM,has_application,FLEXUS
MLM,has_application,ARC-Tool
MLM,has_rd_map,RD-Map
C08,implements,RD-Map
MLM,has_series,W-Series
W-Series,belongs_to_layer,Stochastic
W-Series,uses_dataset_family,DS-F
